codeuai;longitude;latitude;lycee;ville;ppi;annee_d_individualisation;titreoperation;enveloppe_prev_en_meur;montant_des_ap_votes_en_meur;mandataire;maitrise_d_oeuvre;notification_du_marche;entreprise;mode_de_devolution;nombre_de_lots;cao_attribution;etat_d_avancement;annee_de_livraison;pointgeo
0750671X;2.33986894800006;48.881257693000066;Edgar-Quinet;Paris 09ème;2001/2006;1999;Restructuration du service de restauration;2.44;2.65;SEMEA XV;De Certeau/ GEC SA;2001-02-02;GAJ/IDFC;Lots séparés;2;2004-05-24;Opération livrée;2006;48.881257693,2.339868948
0750680G;2.394312742000068;48.84792995200007;Arago;Paris 12ème;2001/2006;2000;Réhabilitation partielle et mise aux normes;0.55;0.83;SEMAEST;Iratome;2002-11-28;Ineo/Electricité de Paris;Ent générale;;2003-12-22;Opération livrée;2005;48.847929952,2.394312742
0750683K;2.362335641000072;48.82743543400005;Claude-Monet;Paris 13ème;2001/2006;1995;Rénovation extension;9.936;9.93;;Opération cofinancée - maîtrise d'ouvrage par le département de Paris;;;;;;Opération livrée;2001;48.827435434,2.362335641
0750699C;2.279442298000049;48.86555024300003;Janson-de-Sailly;Paris 16ème;2001/2006;2004;Restructuration et mise en conformité du pôle sciences et de l'internat;14.48;14.91;;Opération cofinancée - maîtrise d'ouvrage par le département de Paris;;;;;;Opération livrée;2008;48.865550243,2.279442298
0771357G;3.124168119000046;48.78954677200005;Bretonnière (la);Chailly en Brie;2001/2006;1998;Rénovation - extension;3.99;7.01;DDAF 77 puis Essonne Aménagement;Bardon / Gaudriot / Cadence;2001-01-18;Carillon / Canard / Seed / Thevenet..;Lots séparés;10;2003-03-19;Opération livrée;2006;48.789546772,3.124168119
0770931U;2.865822476000062;48.95716431400007;Pierre-de-Coubertin;Meaux;2001/2006;2000;Aménagement d'un parking;0.82;0.82;Ville de Meaux;Services techniques - Ville de Meaux;;Jean Lefevre / Forclum / CSC SARL Clotures;Lots séparés;4;2001-06-25;Opération livrée;2001;48.957164314,2.865822476
0771996B;2.65060829600003;48.97243108600003;Honoré-de-Balzac;Mitry-Mory;2001/2006;2003;Restructuration - extension;31.69;32.92;SAERP;Fabienne Gerin-Jean / Beterem;2006-08-31;Hervé SA / Chapelec / Villemonteil / Kone / Reithler SA;Lots séparés;6;2009-05-06;Opération livrée;2013;48.972431086,2.650608296
0771336J;3.303574426000068;48.54810188600004;Pannevelles (les);Provins;2001/2006;2000;Restructuration - extension;53.96;82.06;Essonne aménagement;Soria architecte / Setec Bâtiment / Zorzetto;2004-11-03;Sacer / Dumez / Otis / IDFC;Lots séparés;4;2007-04-27;Opération livrée;2011;48.548101886,3.303574426
0780486E;2.085196557000074;48.99131539800004;Batellerie (la);Conflans Ste Honorine;2001/2006;2001;Rénovation d'ensemble;23.48;32.65;Icade Promotion;Valero-Gadan / Ingerop;2006-01-05;GCC;Ent générale;;2008-01-02;Opération livrée;2013;48.991315398,2.085196557
0783213U;1.647944425000048;48.67775577700007;Hériot;La Boissière Ecole;2001/2006;1999;Réfection partielle et grosses réparations;1.36;1.795;CITALLIOS (ex-SARRY 78);Rombaut / Betior;2003-07-07;TBE / UTB / Nodal;Lots séparés;3;2005-04-02;Opération livrée;2006;48.677755777,1.647944425
0781948U;1.775086602000044;48.97363300600006;Lavoisier;Porcheville;2001/2006;2007;Construction d'un internat de 100 places;6.89;7.68;CITALLIOS (ex-SEM 92);Emmanuel Saadi;2009-09-10;SEE Simeoni/KONE NEB IDF;Lots séparés;2;2014-02-13;Opération livrée;2016;48.973633006,1.775086602
0780584L;1.995816400000024;48.78030823000006;Henri-Matisse;Trappes;2001/2006;2008;Restructuration partielle - extension;8.8;10.668;SEMAEST;Isabelle Biro;2011-09-22;Eiffage / SISAP / SESAR;Lots séparés;6;2015-11-20;Opération livrée;2017;48.78030823,1.9958164
0782563M;2.137439326000049;48.801064387000054;La-Bruyère;Versailles;2001/2006;2008;Restructuration du service de restauration;5.4;6.0;SAERP;Boris Schneider (SAM Architecture);;SNRB/Metalobil/Ragueneau/Illico SAS;Lots séparés;4;2014-04-04;Opération livrée;2015;48.801064387,2.137439326
0911632E;2.244385915000066;48.580719378000026;René-Cassin;Arpajon;2001/2006;2003;Rénovation d'ensemble - extension;33.86;35.75;Essonne aménagement;Malisan / Epicuria / RGC;2006-08-31;Eiffage / Léon Grosse;Lots séparés;5;2009-04-27;Opération livrée;2013;48.580719378,2.244385915
0910630R;2.33393135700004;48.482819051000035;Alexandre-Denis;Cerny;2001/2006;2007;Reconstruction et extension de l'internat (100 places);14.59;18.09;Essonne aménagement;Celkiner & Grabli;2010-11-03;VERDOIA-DUCLOUX /GALLIER/BTB élec;;;;Opération livrée;2016;48.482819051,2.333931357
0911985N;1.992162;48.534016;Nikola Tesla (ex-Kastler);Dourdan;2001/2006;1999;Création de locaux scolaires;1.19;1.64;Essonne aménagement;Goudenege / CET ingénierie;2001-06-21;Paris ouest construction;Ent générale;;2004-05-17;Opération livrée;2006;48.534016,1.992162
